date,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
6-Apr-2018,6770,6850,6500,6601.39,27455.01,2018-04-06 23:59:59.999000 UTC,182139799.8,162456,13778.06346,91424043.8
7-Apr-2018,6601.39,7070,6586.28,6895.8,32269.58,2018-04-07 23:59:59.999000 UTC,222323863.5,178577,16460.73623,113334533.9
8-Apr-2018,6895.81,7109.13,6880,7018,21427.67,2018-04-08 23:59:59.999000 UTC,149967346.7,152461,11211.61595,78468498.47
9-Apr-2018,7011.04,7185,6611,6782.72,34078.3,2018-04-09 23:59:59.999000 UTC,234309953.8,212669,17046.4286,117289580.1
10-Apr-2018,6781.55,6890,6656,6843.9,22326.73,2018-04-10 23:59:59.999000 UTC,151417844.3,147755,11456.44794,77704393.56
11-Apr-2018,6839.56,6990,6787,6953.79,23997.87,2018-04-11 23:59:59.999000 UTC,165264003.4,155607,12530.65891,86309556.52
12-Apr-2018,6953.78,8012.23,6743.2,7923,64861.6,2018-04-12 23:59:59.999000 UTC,485176252.5,404588,33198.86779,248243486.5
13-Apr-2018,7922.99,8233.39,7732,7877.41,55044.52,2018-04-13 23:59:59.999000 UTC,439884522.7,351905,27485.08304,219615109.1
14-Apr-2018,7877.48,8186,7810,7999.01,31621.29,2018-04-14 23:59:59.999000 UTC,252868761.3,194500,16283.46605,130249061.3
15-Apr-2018,8004,8429.54,7999.02,8355,27946.72,2018-04-15 23:59:59.999000 UTC,230287099.6,181778,14619.4641,120469031.2
16-Apr-2018,8355.07,8419,7867,8064.92,36664.07,2018-04-16 23:59:59.999000 UTC,295817536.5,226748,17912.93846,144490340.3
17-Apr-2018,8064.92,8173.7,7825.4,7885.02,32152.6,2018-04-17 23:59:59.999000 UTC,258221765.6,221228,15662.79502,125845498.6
18-Apr-2018,7890.96,8236.43,7868,8173,26969.04,2018-04-18 23:59:59.999000 UTC,217649160.1,183472,14559.15229,117565318
19-Apr-2018,8173.99,8296,8080,8278,27113.85,2018-04-19 23:59:59.999000 UTC,222675105.8,196821,13747.59593,112939221.7
20-Apr-2018,8273.84,8930,8177.09,8856.98,39795.34,2018-04-20 23:59:59.999000 UTC,337288580.4,289687,21087.90367,178802594.4
21-Apr-2018,8852.12,9035,8565,8915.31,40872.23,2018-04-21 23:59:59.999000 UTC,358915978.1,295374,21145.84239,185753264.9
22-Apr-2018,8915.31,9020.67,8727.68,8787.02,29458.25,2018-04-22 23:59:59.999000 UTC,261804372.9,229871,14937.89912,132830238.4
23-Apr-2018,8785.7,8985,8745,8934.01,25838.11,2018-04-23 23:59:59.999000 UTC,229754640.6,190944,13246.60506,117823053.8
24-Apr-2018,8934,9731.01,8922,9619.99,46268.79,2018-04-24 23:59:59.999000 UTC,431210048.1,326608,24784.71044,231061865.3
25-Apr-2018,9618.96,9759.82,8730,8869.99,81110.04,2018-04-25 23:59:59.999000 UTC,745137763,477363,38824.01381,356851505.7
26-Apr-2018,8869.99,9307.48,8651.62,9266,43300.3,2018-04-26 23:59:59.999000 UTC,385046648.1,285850,22640.66914,201458888.2
27-Apr-2018,9267.03,9395,8889,8915.35,37241.35,2018-04-27 23:59:59.999000 UTC,342805674.6,268471,18517.60428,170503662.7
28-Apr-2018,8915.35,9427.48,8870,9348,34759.63,2018-04-28 23:59:59.999000 UTC,321653866.2,257288,18251.63145,169069669.9
29-Apr-2018,9348,9570.51,9163.74,9419,38149.85,2018-04-29 23:59:59.999000 UTC,357004896,311494,19364.94518,181366653.8
30-Apr-2018,9417.04,9458.64,9124.99,9246.01,35002.03,2018-04-30 23:59:59.999000 UTC,325019389.3,285951,17461.18903,162179073.4
